question,answer,source,focus_area
what causes causes of diabetes ?,"other types of diabetes have a variety of possible causes. genetic mutations affecting beta cells, insulin, and insulin action some relatively uncommon forms of diabetes known as monogenic diabetes are caused by mutations, or changes, in a single gene. these mutations are usually inherited, but sometimes the gene mutation occurs spontaneously. most of these gene mutations cause diabetes by reducing beta cells ability to produce insulin. the most common types of monogenic diabetes are neonatal diabetes mellitus (ndm) and mody. ndm occurs in the first 6 months of life. mody is usually found during adolescence or early adulthood but sometimes is not diagnosed until later in life. more information about ndm and mody is provided in the niddk health topic, monogenic forms of diabetes. other rare genetic mutations can cause diabetes by damaging the quality of insulin the body produces or by causing abnormalities in insulin receptors. other genetic diseases diabetes occurs in people with down syndrome, klinefelter syndrome, and turner syndrome at higher rates than the general population. scientists are investigating whether genes that may predispose people to genetic syndromes also predispose them to diabetes. the genetic disorders cystic fibrosis and hemochromatosis are linked to diabetes. cystic fibrosis produces abnormally thick mucus, which blocks the pancreas. the risk of diabetes increases with age in people with cystic fibrosis. hemochromatosis causes the body to store too much iron. if the disorder is not treated, iron can build up in and damage the pancreas and other organs. damage to or removal of the pancreas pancreatitis, cancer, and trauma can all harm the pancreatic beta cells or impair insulin production, thus causing diabetes. if the damaged pancreas is removed, diabetes will occur due to the loss of the beta cells. endocrine diseases endocrine diseases affect organs that produce hormones. cushings syndrome and acromegaly are examples of hormonal disorders that can cause prediabetes and diabetes by inducing insulin resistance. cushings syndrome is marked by excessive production of cortisolsometimes called the stress hormone. acromegaly occurs when the body produces too much growth hormone. glucagonoma, a rare tumor of the pancreas, can also cause diabetes. the tumor causes the body to produce too much glucagon. hyperthyroidism, a disorder that occurs when the thyroid gland produces too much thyroid hormone, can also cause elevated blood glucose levels. autoimmune disorders rare disorders characterized by antibodies that disrupt insulin action can lead to diabetes. this kind of diabetes is often associated with other autoimmune disorders such as lupus erythematosus. another rare autoimmune disorder called stiff-man syndrome is associated with antibodies that attack the beta cells, similar to type 1 diabetes. medications and chemical toxins some medications, such as nicotinic acid and certain types of diuretics, anti-seizure drugs, psychiatric drugs, and drugs to treat human immunodeficiency virus (hiv), can impair beta cells or disrupt insulin action. pentamidine, a drug prescribed to treat a type of pneumonia, can increase the risk of pancreatitis, beta cell damage, and diabetes. also, glucocorticoidssteroid hormones that are chemically similar to naturally produced cortisolmay impair insulin action. glucocorticoids are used to treat inflammatory illnesses such as rheumatoid arthritis, asthma, lupus, and ulcerative colitis. many chemical toxins can damage or destroy beta cells in animals, but only a few have been linked to diabetes in humans. for example, dioxina contaminant of the herbicide agent orange, used during the vietnam warmay be linked to the development of type 2 diabetes. in 2000, based on a report from the institute of medicine, the u.s. department of veterans affairs (va) added diabetes to the list of conditions for which vietnam veterans are eligible for disability compensation. also, a chemical in a rat poison no longer in use has been shown to cause diabetes if ingested. some studies suggest a high intake of nitrogen-containing chemicals such as nitrates and nitrites might increase the risk of diabetes. arsenic has also been studied for possible links to diabetes. lipodystrophy lipodystrophy is a condition in which fat tissue is lost or redistributed in the body. the condition is associated with insulin resistance and type 2 diabetes.",niddk,causes of diabetes
what to do for causes of diabetes ?,"- diabetes is a complex group of diseases with a variety of causes. scientists believe genes and environmental factors interact to cause diabetes in most cases. - people with diabetes have high blood glucose, also called high blood sugar or hyperglycemia. diabetes develops when the body doesnt make enough insulin or is not able to use insulin effectively, or both. - insulin is a hormone made by beta cells in the pancreas. insulin helps cells throughout the body absorb and use glucose for energy. if the body does not produce enough insulin or cannot use insulin effectively, glucose builds up in the blood instead of being absorbed by cells in the body, and the body is starved of energy. - prediabetes is a condition in which blood glucose levels or a1c levels are higher than normal but not high enough to be diagnosed as diabetes. people with prediabetes can substantially reduce their risk of developing diabetes by losing weight and increasing physical activity. - the two main types of diabetes are type 1 diabetes and type 2 diabetes. gestational diabetes is a third form of diabetes that develops only during pregnancy. - type 1 diabetes is caused by a lack of insulin due to the destruction of insulin-producing beta cells. in type 1 diabetesan autoimmune diseasethe bodys immune system attacks and destroys the beta cells. - type 2 diabetesthe most common form of diabetesis caused by a combination of factors, including insulin resistance, a condition in which the bodys muscle, fat, and liver cells do not use insulin effectively. type 2 diabetes develops when the body can no longer produce enough insulin to compensate for the impaired ability to use insulin. - scientists believe gestational diabetes is caused by the hormonal changes and metabolic demands of pregnancy together with genetic and environmental factors. risk factors for gestational diabetes include being overweight and having a family history of diabetes. - monogenic forms of diabetes are relatively uncommon and are caused by mutations in single genes that limit insulin production, quality, or action in the body. - other types of diabetes are caused by diseases and injuries that damage the pancreas; certain chemical toxins and medications; infections; and other conditions.",niddk,causes of diabetes
what is (are) renal tubular acidosis ?,"renal tubular acidosis (rta) is a disease that occurs when the kidneys fail to excrete acids into the urine, which causes a person's blood to remain too acidic. without proper treatment, chronic acidity of the blood leads to growth retardation, kidney stones, bone disease, chronic kidney disease, and possibly total kidney failure. the body's cells use chemical reactions to carry out tasks such as turning food into energy and repairing tissue. these chemical reactions generate acids. some acid in the blood is normal, but too much acidacidosiscan disturb many bodily functions. healthy kidneys help maintain acid-base balance by excreting acids into the urine and returning bicarbonatean alkaline, or base, substanceto the blood. this ""reclaimed"" bicarbonate neutralizes much of the acid that is created when food is broken down in the body. the movement of substances like bicarbonate between the blood and structures in the kidneys is called transport. one researcher has theorized that charles dickens may have been describing a child with rta in the character of tiny tim from a christmas carol. tiny tim's small stature, malformed limbs, and periods of weakness are all possible consequences of the chemical imbalance caused by rta.1 in the story, tiny tim recovers when he receives medical treatment, which would likely have included sodium bicarbonate and sodium citrate, alkaline agents to neutralize acidic blood. the good news is that medical treatment can indeed reverse the effects of rta.",niddk,renal tubular acidosis
what is (are) renal tubular acidosis ?,"renal tubular acidosis (rta) is a disease that occurs when the kidneys fail to excrete acids into the urine, which causes a person's blood to remain too acidic. without proper treatment, chronic acidity of the blood leads to growth retardation, kidney stones, bone disease, chronic kidney disease, and possibly total kidney failure. the body's cells use chemical reactions to carry out tasks such as turning food into energy and repairing tissue. these chemical reactions generate acids. some acid in the blood is normal, but too much acidacidosiscan disturb many bodily functions. healthy kidneys help maintain acid-base balance by excreting acids into the urine and returning bicarbonatean alkaline, or base, substanceto the blood. this ""reclaimed"" bicarbonate neutralizes much of the acid that is created when food is broken down in the body. the movement of substances like bicarbonate between the blood and structures in the kidneys is called transport. one researcher has theorized that charles dickens may have been describing a child with rta in the character of tiny tim from a christmas carol. tiny tim's small stature, malformed limbs, and periods of weakness are all possible consequences of the chemical imbalance caused by rta.1 in the story, tiny tim recovers when he receives medical treatment, which would likely have included sodium bicarbonate and sodium citrate, alkaline agents to neutralize acidic blood. the good news is that medical treatment can indeed reverse the effects of rta.",niddk,renal tubular acidosis
how to diagnose renal tubular acidosis ?,"to diagnose rta, doctors check the acid-base balance in blood and urine samples. if the blood is more acidic than it should be and the urine less acidic than it should be, rta may be the reason, but additional information is needed to rule out other causes. if rta is the reason, additional information about the sodium, potassium, and chloride levels in the urine and the potassium level in the blood will help identify which type of rta a person has. in all cases, the first goal of therapy is to neutralize acid in the blood, but different treatments may be needed to address the different underlying causes of acidosis.",niddk,renal tubular acidosis
how to diagnose renal tubular acidosis ?,"to diagnose rta, doctors check the acid-base balance in blood and urine samples. if the blood is more acidic than it should be and the urine less acidic than it should be, rta may be the reason, but additional information is needed to rule out other causes. if rta is the reason, additional information about the sodium, potassium, and chloride levels in the urine and the potassium level in the blood will help identify which type of rta a person has. in all cases, the first goal of therapy is to neutralize acid in the blood, but different treatments may be needed to address the different underlying causes of acidosis.",niddk,renal tubular acidosis
what is (are) renal tubular acidosis ?,"type 1: classical distal rta type 1 is also called classical distal rta. ""distal,"" which means distant, refers to the point in the urine-forming tube of the kidney where the defect occursrelatively distant from the point where fluid from the blood enters the tiny tube, or tubule, that collects fluid and wastes to form urine. this disorder may be inherited as a primary disorder or may be one symptom of a disease that affects many parts of the body. researchers have discovered abnormal genes responsible for the inherited forms of the disease. more often, however, classical distal rta occurs as a result of systemic diseasesdiseases that affect many organ systemslike the autoimmune disorders sjgren's syndrome and lupus, which also attack the distal tubule. other diseases and conditions associated with classical distal rta include sickle cell anemia, hyperparathyroidism, hyperthyroidism, chronic active hepatitis, primary biliary cirrhosis, a hereditary form of deafness, analgesic nephropathy, rejection of a transplanted kidney, renal medullary cystic disease, obstructive uropathy, and chronic urinary tract infections. many of these conditions cause abnormal calcium deposits to build up in the kidney and impair distal tubule function. a major consequence of classical distal rta is a low blood potassium level. the level drops if the kidneys excrete too much potassium into urine instead of returning it to the blood supply. because potassium helps regulate nerve and muscle health and heart rate, low levels can cause extreme weakness, irregular heartbeat, paralysis, and even death. untreated classical distal rta causes growth retardation in children and progressive kidney and bone disease in adults. restoring normal growth and preventing kidney stones are the major goals of therapy. if acidosis is corrected with sodium bicarbonate or sodium citrate, then low blood-potassium, salt depletion, and calcium leakage into urine will be corrected. this alkali therapy also helps decrease the development of kidney stones and stabilizes kidney function so kidney failure does not progress. infants may need potassium supplements, but older children and adults rarely do because alkali therapy prevents the kidney from excreting potassium into the urine. type 2: proximal rta type 2 is also called proximal rta. the word ""proximal,"" which means near, indicates that the defect is closer to the point where fluid and wastes from the blood enter the tubule. this form of rta occurs most frequently in children as part of a disorder called fanconi's syndrome. the features of fanconi's syndrome include the abnormal excretion of glucose, amino acids, citrate, and phosphate into the urine, as well as vitamin d deficiency and low blood-potassium. proximal rta can also result from inherited disorders that disrupt the body's normal breakdown and use of nutrients. examples include the rare disease cystinosis, in which cystine crystals are deposited in bones and other tissues; hereditary fructose intolerance; and wilson disease. proximal rta also occurs in patients treated with ifosfamide, a drug used in chemotherapy. a few older drugssuch as acetazolamide or outdated tetracyclinecan also cause proximal rta. in adults, proximal rta may complicate diseases like multiple myeloma, or it may occur in people who experience chronic rejection of a transplanted kidney. when possible, identifying and correcting the underlying causes are important steps in treating the acquired forms of proximal rta. the diagnosis is based on the chemical analysis of blood and urine samples. children with this disorder would likely receive large doses of an oral alkali, such as sodium bicarbonate or potassium citrate, to treat acidosis and prevent bone disorders, kidney stones, and growth failure. correcting acidosis and low potassium levels restores normal growth patterns, allowing bone to mature while preventing further renal disease. vitamin d supplements may also be needed to help prevent bone problems. type 3 type 3 is rarely used as a classification because it is now thought to be a combination of type 1 and type 2. type 4: hyperkalemic rta type 4 is also called hyperkalemic rta and is caused by a generalized transport abnormality of the distal tubule. the transport of electrolytes such as sodium, chloride, and potassium that normally occurs in the distal tubule is impaired. this form is distinguished from classical distal rta and proximal rta because it results in high levels of potassium in the blood instead of low levels. either low potassiumhypokalemiaor high potassiumhyperkalemiacan be a problem because potassium is important in regulating heart rate. type 4 rta occurs when blood levels of the hormone aldosterone are low or when the kidneys do not respond to it. aldosterone directs the kidneys to regulate the levels of sodium, potassium, and chloride in the blood. type 4 rta also occurs when the tubule transport of electrolytes such as sodium, chloride, and potassium is impaired due to an inherited disorder or the use of certain drugs. drugs that may cause type 4 rta include - diuretics used to treat congestive heart failure such as spironolactone or eplerenone - blood pressure drugs called angiotensin-converting enzyme (ace) inhibitors and angiotensin receptor blockers (arbs) - the antibiotic trimethoprim - the antibiotic pentamidine, which is used to treat pneumonia - an agent called heparin that keeps blood from clotting - a class of painkillers called nonsteroidal anti-inflammatory drugs (nsaids) - some immunosuppressive drugs used to prevent rejection type 4 rta may also result from diseases that alter kidney structure and function such as diabetic nephropathy, hiv/aids, addison's disease, sickle cell disease, urinary tract obstruction, lupus, amyloidosis, removal or destruction of both adrenal glands, and kidney transplant rejection. for people who produce aldosterone but cannot use it, researchers have identified the genetic basis for their body's resistance to the hormone. to treat type 4 rta successfully, patients may require alkaline agents to correct acidosis and medication to lower the potassium in their blood. if treated early, most people with any type of rta will not develop permanent kidney failure. therefore, the goal is early recognition and adequate therapy, which will need to be maintained and monitored throughout the person's lifetime.",niddk,renal tubular acidosis
what is (are) renal tubular acidosis ?,"type 1: classical distal rta type 1 is also called classical distal rta. ""distal,"" which means distant, refers to the point in the urine-forming tube of the kidney where the defect occursrelatively distant from the point where fluid from the blood enters the tiny tube, or tubule, that collects fluid and wastes to form urine. this disorder may be inherited as a primary disorder or may be one symptom of a disease that affects many parts of the body. researchers have discovered abnormal genes responsible for the inherited forms of the disease. more often, however, classical distal rta occurs as a result of systemic diseasesdiseases that affect many organ systemslike the autoimmune disorders sjgren's syndrome and lupus, which also attack the distal tubule. other diseases and conditions associated with classical distal rta include sickle cell anemia, hyperparathyroidism, hyperthyroidism, chronic active hepatitis, primary biliary cirrhosis, a hereditary form of deafness, analgesic nephropathy, rejection of a transplanted kidney, renal medullary cystic disease, obstructive uropathy, and chronic urinary tract infections. many of these conditions cause abnormal calcium deposits to build up in the kidney and impair distal tubule function. a major consequence of classical distal rta is a low blood potassium level. the level drops if the kidneys excrete too much potassium into urine instead of returning it to the blood supply. because potassium helps regulate nerve and muscle health and heart rate, low levels can cause extreme weakness, irregular heartbeat, paralysis, and even death. untreated classical distal rta causes growth retardation in children and progressive kidney and bone disease in adults. restoring normal growth and preventing kidney stones are the major goals of therapy. if acidosis is corrected with sodium bicarbonate or sodium citrate, then low blood-potassium, salt depletion, and calcium leakage into urine will be corrected. this alkali therapy also helps decrease the development of kidney stones and stabilizes kidney function so kidney failure does not progress. infants may need potassium supplements, but older children and adults rarely do because alkali therapy prevents the kidney from excreting potassium into the urine. type 2: proximal rta type 2 is also called proximal rta. the word ""proximal,"" which means near, indicates that the defect is closer to the point where fluid and wastes from the blood enter the tubule. this form of rta occurs most frequently in children as part of a disorder called fanconi's syndrome. the features of fanconi's syndrome include the abnormal excretion of glucose, amino acids, citrate, and phosphate into the urine, as well as vitamin d deficiency and low blood-potassium. proximal rta can also result from inherited disorders that disrupt the body's normal breakdown and use of nutrients. examples include the rare disease cystinosis, in which cystine crystals are deposited in bones and other tissues; hereditary fructose intolerance; and wilson disease. proximal rta also occurs in patients treated with ifosfamide, a drug used in chemotherapy. a few older drugssuch as acetazolamide or outdated tetracyclinecan also cause proximal rta. in adults, proximal rta may complicate diseases like multiple myeloma, or it may occur in people who experience chronic rejection of a transplanted kidney. when possible, identifying and correcting the underlying causes are important steps in treating the acquired forms of proximal rta. the diagnosis is based on the chemical analysis of blood and urine samples. children with this disorder would likely receive large doses of an oral alkali, such as sodium bicarbonate or potassium citrate, to treat acidosis and prevent bone disorders, kidney stones, and growth failure. correcting acidosis and low potassium levels restores normal growth patterns, allowing bone to mature while preventing further renal disease. vitamin d supplements may also be needed to help prevent bone problems. type 3 type 3 is rarely used as a classification because it is now thought to be a combination of type 1 and type 2. type 4: hyperkalemic rta type 4 is also called hyperkalemic rta and is caused by a generalized transport abnormality of the distal tubule. the transport of electrolytes such as sodium, chloride, and potassium that normally occurs in the distal tubule is impaired. this form is distinguished from classical distal rta and proximal rta because it results in high levels of potassium in the blood instead of low levels. either low potassiumhypokalemiaor high potassiumhyperkalemiacan be a problem because potassium is important in regulating heart rate. type 4 rta occurs when blood levels of the hormone aldosterone are low or when the kidneys do not respond to it. aldosterone directs the kidneys to regulate the levels of sodium, potassium, and chloride in the blood. type 4 rta also occurs when the tubule transport of electrolytes such as sodium, chloride, and potassium is impaired due to an inherited disorder or the use of certain drugs. drugs that may cause type 4 rta include - diuretics used to treat congestive heart failure such as spironolactone or eplerenone - blood pressure drugs called angiotensin-converting enzyme (ace) inhibitors and angiotensin receptor blockers (arbs) - the antibiotic trimethoprim - the antibiotic pentamidine, which is used to treat pneumonia - an agent called heparin that keeps blood from clotting - a class of painkillers called nonsteroidal anti-inflammatory drugs (nsaids) - some immunosuppressive drugs used to prevent rejection type 4 rta may also result from diseases that alter kidney structure and function such as diabetic nephropathy, hiv/aids, addison's disease, sickle cell disease, urinary tract obstruction, lupus, amyloidosis, removal or destruction of both adrenal glands, and kidney transplant rejection. for people who produce aldosterone but cannot use it, researchers have identified the genetic basis for their body's resistance to the hormone. to treat type 4 rta successfully, patients may require alkaline agents to correct acidosis and medication to lower the potassium in their blood. if treated early, most people with any type of rta will not develop permanent kidney failure. therefore, the goal is early recognition and adequate therapy, which will need to be maintained and monitored throughout the person's lifetime.",niddk,renal tubular acidosis
what to do for renal tubular acidosis ?,"- renal tubular acidosis (rta) is a disease that occurs when the kidneys fail to excrete acids into the urine, which causes a person's blood to remain too acidic. - without proper treatment, chronic acidity of the blood leads to growth retardation, kidney stones, bone disease, chronic kidney disease, and possibly total kidney failure. - if rta is suspected, additional information about the sodium, potassium, and chloride levels in the urine and the potassium level in the blood will help identify which type of rta a person has. - in all cases, the first goal of therapy is to neutralize acid in the blood, but different treatments may be needed to address the different underlying causes of acidosis.",niddk,renal tubular acidosis
what to do for renal tubular acidosis ?,"- renal tubular acidosis (rta) is a disease that occurs when the kidneys fail to excrete acids into the urine, which causes a person's blood to remain too acidic. - without proper treatment, chronic acidity of the blood leads to growth retardation, kidney stones, bone disease, chronic kidney disease, and possibly total kidney failure. - if rta is suspected, additional information about the sodium, potassium, and chloride levels in the urine and the potassium level in the blood will help identify which type of rta a person has. - in all cases, the first goal of therapy is to neutralize acid in the blood, but different treatments may be needed to address the different underlying causes of acidosis.",niddk,renal tubular acidosis
what is (are) causes of diabetes ?,"diabetes is a complex group of diseases with a variety of causes. people with diabetes have high blood glucose, also called high blood sugar or hyperglycemia. diabetes is a disorder of metabolismthe way the body uses digested food for energy. the digestive tract breaks down carbohydratessugars and starches found in many foodsinto glucose, a form of sugar that enters the bloodstream. with the help of the hormone insulin, cells throughout the body absorb glucose and use it for energy. diabetes develops when the body doesnt make enough insulin or is not able to use insulin effectively, or both. insulin is made in the pancreas, an organ located behind the stomach. the pancreas contains clusters of cells called islets. beta cells within the islets make insulin and release it into the blood. if beta cells dont produce enough insulin, or the body doesnt respond to the insulin that is present, glucose builds up in the blood instead of being absorbed by cells in the body, leading to prediabetes or diabetes. prediabetes is a condition in which blood glucose levels or a1c levelswhich reflect average blood glucose levelsare higher than normal but not high enough to be diagnosed as diabetes. in diabetes, the bodys cells are starved of energy despite high blood glucose levels. over time, high blood glucose damages nerves and blood vessels, leading to complications such as heart disease, stroke, kidney disease, blindness, dental disease, and amputations. other complications of diabetes may include increased susceptibility to other diseases, loss of mobility with aging, depression, and pregnancy problems. no one is certain what starts the processes that cause diabetes, but scientists believe genes and environmental factors interact to cause diabetes in most cases. the two main types of diabetes are type 1 diabetes and type 2 diabetes. a third type, gestational diabetes, develops only during pregnancy. other types of diabetes are caused by defects in specific genes, diseases of the pancreas, certain drugs or chemicals, infections, and other conditions. some people show signs of both type 1 and type 2 diabetes.",niddk,causes of diabetes
what causes causes of diabetes ?,"type 1 diabetes is caused by a lack of insulin due to the destruction of insulin-producing beta cells in the pancreas. in type 1 diabetesan autoimmune diseasethe bodys immune system attacks and destroys the beta cells. normally, the immune system protects the body from infection by identifying and destroying bacteria, viruses, and other potentially harmful foreign substances. but in autoimmune diseases, the immune system attacks the bodys own cells. in type 1 diabetes, beta cell destruction may take place over several years, but symptoms of the disease usually develop over a short period of time. type 1 diabetes typically occurs in children and young adults, though it can appear at any age. in the past, type 1 diabetes was called juvenile diabetes or insulin-dependent diabetes mellitus. latent autoimmune diabetes in adults (lada) may be a slowly developing kind of type 1 diabetes. diagnosis usually occurs after age 30. in lada, as in type 1 diabetes, the bodys immune system destroys the beta cells. at the time of diagnosis, people with lada may still produce their own insulin, but eventually most will need insulin shots or an insulin pump to control blood glucose levels. genetic susceptibility heredity plays an important part in determining who is likely to develop type 1 diabetes. genes are passed down from biological parent to child. genes carry instructions for making proteins that are needed for the bodys cells to function. many genes, as well as interactions among genes, are thought to influence susceptibility to and protection from type 1 diabetes. the key genes may vary in different population groups. variations in genes that affect more than 1 percent of a population group are called gene variants. certain gene variants that carry instructions for making proteins called human leukocyte antigens (hlas) on white blood cells are linked to the risk of developing type 1 diabetes. the proteins produced by hla genes help determine whether the immune system recognizes a cell as part of the body or as foreign material. some combinations of hla gene variants predict that a person will be at higher risk for type 1 diabetes, while other combinations are protective or have no effect on risk. while hla genes are the major risk genes for type 1 diabetes, many additional risk genes or gene regions have been found. not only can these genes help identify people at risk for type 1 diabetes, but they also provide important clues to help scientists better understand how the disease develops and identify potential targets for therapy and prevention. genetic testing can show what types of hla genes a person carries and can reveal other genes linked to diabetes. however, most genetic testing is done in a research setting and is not yet available to individuals. scientists are studying how the results of genetic testing can be used to improve type 1 diabetes prevention or treatment. autoimmune destruction of beta cells in type 1 diabetes, white blood cells called t cells attack and destroy beta cells. the process begins well before diabetes symptoms appear and continues after diagnosis. often, type 1 diabetes is not diagnosed until most beta cells have already been destroyed. at this point, a person needs daily insulin treatment to survive. finding ways to modify or stop this autoimmune process and preserve beta cell function is a major focus of current scientific research. recent research suggests insulin itself may be a key trigger of the immune attack on beta cells. the immune systems of people who are susceptible to developing type 1 diabetes respond to insulin as if it were a foreign substance, or antigen. to combat antigens, the body makes proteins called antibodies. antibodies to insulin and other proteins produced by beta cells are found in people with type 1 diabetes. researchers test for these antibodies to help identify people at increased risk of developing the disease. testing the types and levels of antibodies in the blood can help determine whether a person has type 1 diabetes, lada, or another type of diabetes. environmental factors environmental factors, such as foods, viruses, and toxins, may play a role in the development of type 1 diabetes, but the exact nature of their role has not been determined. some theories suggest that environmental factors trigger the autoimmune destruction of beta cells in people with a genetic susceptibility to diabetes. other theories suggest that environmental factors play an ongoing role in diabetes, even after diagnosis. viruses and infections. a virus cannot cause diabetes on its own, but people are sometimes diagnosed with type 1 diabetes during or after a viral infection, suggesting a link between the two. also, the onset of type 1 diabetes occurs more frequently during the winter when viral infections are more common. viruses possibly associated with type 1 diabetes include coxsackievirus b, cytomegalovirus, adenovirus, rubella, and mumps. scientists have described several ways these viruses may damage or destroy beta cells or possibly trigger an autoimmune response in susceptible people. for example, anti-islet antibodies have been found in patients with congenital rubella syndrome, and cytomegalovirus has been associated with significant beta cell damage and acute pancreatitisinflammation of the pancreas. scientists are trying to identify a virus that can cause type 1 diabetes so that a vaccine might be developed to prevent the disease. infant feeding practices. some studies have suggested that dietary factors may raise or lower the risk of developing type 1 diabetes. for example, breastfed infants and infants receiving vitamin d supplements may have a reduced risk of developing type 1 diabetes, while early exposure to cows milk and cereal proteins may increase risk. more research is needed to clarify how infant nutrition affects the risk for type 1 diabetes. read more in the centers for disease control and preventions (cdcs) publication national diabetes statistics report, 2014 at www.cdc.gov for information about research studies related to type 1 diabetes.",niddk,causes of diabetes
